address,addressnum,bbl,bin,boro,borocode,capacity,captype,cd,city,council,ct2010,ct2020,datasource,facdomain,facgroup,facname,facsubgrp,factype,latitude,longitude,nta2010,nta2020,opabbrev,opname,optype,overabbrev,overagency,overlevel,policeprct,schooldist,servarea,streetname,uid,xcoord,ycoord,zipcode,_ntacode,_ntaname
182-19 HORACE HARDING EXPRESSWAY,182-19,4070660054,4152743,QUEENS,4,0,,411,FRESH MEADOWS,20,141700,141700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NYP/QUEENS PRIMARY CARE CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.74003486,-73.79153843,QN48,QN1101,Non-public,NewYork-Presbyterian/Queens,Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,HORACE HARDING EXPRESSWAY,066528c2d95e18e85e42dcf08958445e,1042017.63,208960.0053,11365,QN48,"Auburndale,"
114-39 SUTPHIN BOULEVARD,114-39,4121850001,4264063,QUEENS,4,0,,412,JAMAICA,28,27200,27200,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,JOSEPH P ADDABBO FAMILY HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.6852501,-73.79273603,QN76,QN1203,Non-public,Joseph P Addabbo Family Health Center Inc,Non-public,NYSDOH,NYS Department of Health,State,113,27,Regional,SUTPHIN BOULEVARD,2794f1dd8e39b1915c464b45df283842,1041732.988,188999.5217,11434,QN76,Baisley Park
"118-01,05,07A GUY BREWER BOULEVARD",,0,0,QUEENS,4,0,,412,JAMAICA,27,28400,28400,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,QUEENS DIALYSIS CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.683594,-73.782532,QN76,QN1203,Non-public,"Knickerbocker Dialysis, Inc",Non-public,NYSDOH,NYS Department of Health,State,113,28,Regional,,5a43ffb400243a193b3a0a91e21f7511,1044564.484,188403.0196,11434,QN76,Baisley Parked
114-02 GUY BREWER BOULEVARD,114-02,4122000052,4264631,QUEENS,4,0,,412,JAMAICA,28,27600,27600,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,SOUTH QUEENS COMMUNITY CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.68835469,-73.7859265,QN76,QN1203,Non-public,NYC Health and Hospitals Corporation,Non-public,NYSDOH,NYS Department of Health,State,113,28,Regional,GUY BREWER BOULEVARD,66a02be35d292e0ec02f0b7f228f480e,1043618.788,190135.1543,11434,QN76,Baisley Park
116-30 SUTPHIN BOULEVARD,116-30,4120080007,4447121,QUEENS,4,0,,412,JAMAICA,28,18402,18402,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,J-CAP INC THOMAS & MARIE WHITE HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.68189538,-73.79282258,QN76,QN1203,Non-public,Queens Vil Com for Mental Hlth For Jamaica Comm Adolescent Pro Inc,Non-public,NYSDOH,NYS Department of Health,State,113,27,Regional,SUTPHIN BOULEVARD,6c351b8a9404ebb01aef6559d2538592,1041711.873,187777.2484,11434,QN76,Baisley Park
125-20 SUTPHIN BOULEVARD,125-20,4120510001,4261713,QUEENS,4,0,,412,JAMAICA,28,18401,18401,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PS 223,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.6747082,-73.79035936,QN76,QN1203,Non-public,Jamaica Hospital Inc,Non-public,NYSDOH,NYS Department of Health,State,113,27,Regional,SUTPHIN BOULEVARD,c0964c643231fe9fd2e1c6100f45e277,1042401.327,185160.3838,11434,QN76,Baisley Park
118-11 GUY BREWER BOULEVARD,118-11,4123540116,4448585,QUEENS,4,0,,412,JAMAICA,27,28400,28400,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,JOSEPH P. ADDABBO FAMILY HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.68353247,-73.78223982,QN76,QN1203,Non-public,Joseph P Addabbo Family Health Center Inc,Non-public,NYSDOH,NYS Department of Health,State,113,28,Regional,GUY BREWER BOULEVARD,d791dbf28f8562450fc738ee337734be,1044645.576,188380.8041,11434,QN76,Baisley Park
"114 02 GUY R BREWER BLVD JAMAICA, NY",,4122000052,0,QUEENS,4,0,,412,JAMAICA,28,27600,27600,hhc_hospitals,HEALTH AND HUMAN SERVICES,HEALTH CARE,SOUTH QUEENS COMMUNITY HEALTH CENTER,HOSPITALS AND CLINICS,CHILD HEALTH CENTER,40.688355,-73.785929,QN76,QN1203,NYCHHC,NYC Health and Hospitals Corporation,Public,NYSDOH,NYS Department of Health,State,113,28,Regional,,7f4520e3097b800f1d63d7d671d476c2,1043618.093,190135.2645,11434,QN76,BaisleyPaark
211-11 NORTHERN BOULEVARD,211-11,4062850029,4138234,QUEENS,4,0,,411,BAYSIDE,19,146700,146700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PREMIER HEALTHCARE BAYSIDE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.76000556,-73.77170332,QN46,QN1102,Non-public,"Premier Healthcare, Inc",Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,NORTHERN BOULEVARD,078fd324d789e1458fc842594da73bb2,1047495.243,216249.6526,11361,QN46,Bayside-Bayside Hills
44-01 FRANCIS LEWIS BOULEVARD,44-01,4055230003,4595549,QUEENS,4,0,,411,BAYSIDE,19,146300,146300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MAIN STREET RADIOLOGY AT BAYSIDE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75715688,-73.78262327,QN46,QN1101,Non-public,Main Street Radiology at Bayside LLC,Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,FRANCIS LEWIS BOULEVARD,10b56a37d5a30c47af63a098ca05d2cd,1044472.662,215204.0928,11361,QN46,Bayside-Bayside Hills
UTOPIA CENTER,,0,0,QUEENS,4,0,,407,FLUSHING,19,108500,108500,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,"QUEENS ENDOSCOPY ASC, LLC",HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.773457,-73.792709,QN46,QN1101,Non-public,"Queens Endoscopy ASC, LLC",Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,,1aa5b10e9dafff9ef9a622c39ff86537,1041664.435,221135.9751,11358,QN46,Bayside-Bayside Hills
201-10 NORTHERN BOULEVARD,201-10,4055230022,4124619,QUEENS,4,0,,411,BAYSIDE,19,146300,146300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,FMS-BAYSIDE DIALYSIS CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75729319,-73.7815816,QN46,QN1101,Non-public,New York Dialysis Services Inc,Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,NORTHERN BOULEVARD,2b68ae8823ffdb53b925f0d49419c1db,1044761.124,215254.4736,11361,QN46,Bayside-Bayside Hills
32-25 FRANCIS LEWIS BOULEVARD,32-25,4060240036,4134097,QUEENS,4,0,,411,FLUSHING,19,109900,109900,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MAIN STREET RADIOLOGY AT BAYSIDE LLC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.76872125,-73.79127444,QN46,QN1101,Non-public,Main Street Radiology at Bayside LLC,Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,FRANCIS LEWIS BOULEVARD,f69c0925a515e8ad6ba24e04270cd44b,1042065.883,219411.5307,11358,QN46,Bayside-Bayside Hills
220-22 HILLSIDE AVENUE,220-22,4079450002,4166343,QUEENS,4,0,,413,QUEENS VILLAGE,23,130100,130100,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,LIJMC-SATELLITE DIALYSIS FACILITY,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.73040319,-73.74222089,QN43,QN1302,Non-public,Long Island Jewish Medical Center,Non-public,NYSDOH,NYS Department of Health,State,105,26,Regional,HILLSIDE AVENUE,fb7a75505ef355dec5c72169079d8139,1055694.504,205487.2702,11427,QN43,Bellerose
105-20 ROCKAWAY BEACH BOULEVARD,105-20,4161780080,4303820,QUEENS,4,0,,414,FAR ROCKAWAY,32,93800,93800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,"ROCKAWAYS ASC DEVELOPMENT, LLC",HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.58304689,-73.82699171,QN10,QN1403,Non-public,"Rockaways ASC Development, LLC",Non-public,NYSDOH,NYS Department of Health,State,100,27,Regional,ROCKAWAY BEACH BOULEVARD,1bff323b6d08f89de67395badd78b519,1032306.006,151743.5879,11694,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
217 BEACH 95 STREET,217,4161510092,4303677,QUEENS,4,0,,414,FAR ROCKAWAY,32,94201,94201,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MEDCARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.58593128,-73.81777784,QN10,QN1402,Non-public,"Medcare, LLC",Non-public,NYSDOH,NYS Department of Health,State,100,27,Regional,BEACH 95 STREET,b6365731b7f26a201f1c6d5f4611f70e,1034863.126,152799.6332,11693,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
105-20 ROCKAWAY BEACH BOULEVARD,105-20,4161780080,4303820,QUEENS,4,0,,414,FAR ROCKAWAY,32,93800,93800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MARGARET O. CARPENTER WOMENS HEALTH CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.58304689,-73.82699171,QN10,QN1403,Non-public,Episcopal Health Services Inc,Non-public,NYSDOH,NYS Department of Health,State,100,27,Regional,ROCKAWAY BEACH BOULEVARD,e59b11c836fe6822ac04e1f7bbb9d2b5,1032306.006,151743.5879,11694,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
144-45 87 AVENUE,144-45,4097240096,4430390,QUEENS,4,0,,408,JAMAICA,24,23200,23200,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NYP/QUEENS WOUND HEALING CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.70755593,-73.81109761,QN35,QN0805,Non-public,NewYork-Presbyterian/Queens,Non-public,NYSDOH,NYS Department of Health,State,107,28,Regional,87 AVENUE,f8b8526dc4d66c0d96854f6b419c18d1,1036623.033,197114.6629,11435,QN35,Briarwood-Jamaica Hills
207-01 116 AVENUE,207-01,4110490001,4238003,QUEENS,4,0,,413,CAMBRIA HEIGHTS,27,53401,53401,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CAMPUS MAGNET HIGH SCHOOL,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.69878593,-73.74632907,QN33,QN1304,Non-public,Jamaica Hospital Inc,Non-public,NYSDOH,NYS Department of Health,State,105,29,Regional,116 AVENUE,f2bffe51333b83363a52af0e78872b98,1054589.267,193964.8656,11411,QN33,Cambria Heights
119-19 GRAHAM COURT,119-19,4042560110,4100257,QUEENS,4,0,,407,FLUSHING,19,91900,91900,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CLIFFSIDE RENAL DIALYSIS,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.77543078,-73.84849105,QN23,QN0701,Non-public,"CRD Associates, LLC",Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,GRAHAM COURT,927a4380900e2b1177e2d35db31540c7,1026212.974,221823.445,11354,QN23,College Point
59-17 JUNCTION BOULEVARD,59-17,4019180001,4047310,QUEENS,4,0,,404,ELMHURST,21,45500,45500,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,WOMEN'S MEDICAL CENTER AT CORONA,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.73478091,-73.86438528,QN25,QN0402,Non-public,NYC Health and Hospitals Corporation,Non-public,NYSDOH,NYS Department of Health,State,110,24,Regional,JUNCTION BOULEVARD,2d27c5d342f2cd55b4f1bb78c8264e81,1021833.728,207006.1814,11373,QN25,Corona
"104 04 CORONA AVENUE CORONA, NY",,4019350068,0,QUEENS,4,0,,404,CORONA,21,43900,43900,hhc_hospitals,HEALTH AND HUMAN SERVICES,HEALTH CARE,CORONA CHILD HEALTH CLINIC,HOSPITALS AND CLINICS,CHILD HEALTH CENTER,40.743779,-73.858429,QN25,QN0402,NYCHHC,NYC Health and Hospitals Corporation,Public,NYSDOH,NYS Department of Health,State,110,24,Regional,,f41ea51ed89fa30c16742d829936c814,1023479.129,210287.0772,11368,QN25,Corona
108-25 HORACE HARDING,,4019650015,0,QUEENS,4,0,,404,CORONA,21,43701,43701,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CASTLE SENIOR LIVING AT FOREST HILLS,HOSPITALS AND CLINICS,ENRICHED HOUSING PROGRAM,40.738472,-73.851472,QN25,QN0402,Non-public,"Midway A.L., LLC",Non-public,NYSDOH,NYS Department of Health,State,110,24,Regional,,a577e31f2f6584acf34a45fd47b20adc,1025410.181,208356.7635,11368,QN25,Corona
252-17 NORTHERN BOULEVARD,252-17,4081290064,4462821,QUEENS,4,0,,411,LITTLE NECK,19,147900,147900,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,LITTLE NECK DIALYSIS,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.77034261,-73.73638542,QN45,QN1103,Non-public,"True North Dialysis Center, LLC",Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,NORTHERN BOULEVARD,92b4be98d3d9a5d247de46f877da5947,1057268.033,220043.2356,11362,QN45,Douglas Manor-Douglaston-Little Neck
55-15 LITTLE NECK PARKWAY,55-15,4084000024,4173557,QUEENS,4,0,,411,LITTLE NECK,19,150702,150702,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,BRANDYWINE ASSISTED LIVING AT THE SAVOY,HOSPITALS AND CLINICS,ENRICHED HOUSING PROGRAM,40.76509534,-73.7235425,QN45,QN1103,Non-public,"Brandywine Assisted Living at The Savoy, LLC",Non-public,NYSDOH,NYS Department of Health,State,111,26,Regional,LITTLE NECK PARKWAY,a5008876f5020c3a07751faa78b29766,1060831.388,218142.4568,11362,QN45,Douglas Manor-Douglaston-Little Neck
,,0,0,QUEENS,4,0,,407,FLUSHING,20,86100,86100,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,FLUSHING HOSPITAL MEDICAL CENTER,HOSPITALS AND CLINICS,HOSPITAL,40.755531,-73.815475,QN52,QN0705,Non-public,Flushing Hospital and Medical Center Inc,Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,,0f57be684acce1ba3451addb90e07245,1035372.589,214590.8542,11355,QN52,East Flushing
79-01 BROADWAY,79-01,4015000002,4437132,QUEENS,4,0,,404,ELMHURST,25,26700,26700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ELMHURST HOSPITAL CENTER,HOSPITALS AND CLINICS,HOSPITAL,40.7451233,-73.88563772,QN29,QN0401,Non-public,NYC Health and Hospitals Corporation,Non-public,NYSDOH,NYS Department of Health,State,110,24,Regional,BROADWAY,be3829f449303888cd0d0c59284268ae,1015938.996,210765.8332,11373,QN29,Elmhurst
79-01 BROADWAY,79-01,4015000002,4437132,QUEENS,4,0,,404,ELMHURST,25,26700,26700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,BROADWAY DIALYSIS CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.7451233,-73.88563772,QN29,QN0401,Non-public,"Newtown Dialysis Center, Inc",Non-public,NYSDOH,NYS Department of Health,State,110,24,Regional,BROADWAY,f5f21d9cd245a186f0c04bbb096a51e6,1015938.996,210765.8332,11373,QN29,Elmhurst
45-10 94 STREET,45-10,4016000061,4437166,QUEENS,4,0,,404,ELMHURST,25,46300,46300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ELMHURST VOYAGES HIGH SCHOOL,HOSPITALS AND CLINICS,SCHOOL BASED DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.7432356,-73.87139082,QN29,QN0401,Non-public,Urban Health Plan Inc,Non-public,NYSDOH,NYS Department of Health,State,110,24,Regional,94 STREET,04ee90e356994a6dae6effface1afb8b,1019887.721,210083.5587,11373,QN29,Elmhurst-
"79 01 ELMHURST, NY",,4015470001,0,QUEENS,4,0,,404,ELMHURST,25,48500,48500,hhc_hospitals,HEALTH AND HUMAN SERVICES,HEALTH CARE,ELMHURST HOSPITAL CENTER,HOSPITALS AND CLINICS,CHILD HEALTH CENTER,40.7387104,-73.87835116,QN50,QN0401,NYCHHC,NYC Health and Hospitals Corporation,Public,NYSDOH,NYS Department of Health,State,110,24,Regional,,38c5c25b5722b3ce6a0de8eb6eae37c8,1017961.296,208432.1338,11373,QN50,Elmhurst-Maspeth
"79 01 ELMHURST, NY",,4015470001,0,QUEENS,4,0,,404,ELMHURST,25,48500,48500,hhc_hospitals,HEALTH AND HUMAN SERVICES,HEALTH CARE,ELMHURST HOSPITAL CENTER,HOSPITALS AND CLINICS,ACUTE CARE HOSPITAL,40.7387104,-73.87835116,QN50,QN0401,NYCHHC,NYC Health and Hospitals Corporation,Public,NYSDOH,NYS Department of Health,State,110,24,Regional,,4d3948a869ff65a1df57206a1a1cfb8a,1017961.296,208432.1338,11373,QN50,Elmhurst-Maspeth
37-50 72 STREET,37-50,4012827501,0,QUEENS,4,0,,403,JACKSON HEIGHTS,25,26500,26501,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ROOSEVELT COMMUNITY HEALTH CENTER OF EXCELLENCE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.74723294,-73.89434658,QN50,QN0401,NYCHHC,New York City Health and Hospitals Corporation,Public,NYSDOH,NYS Department of Health,State,115,30,Regional,72 STREET,1ed1fc2ef1fb043d3fb530dd83c97a22,1013524.906,211531.4113,11372,QN50,Elmhurst-Maspeth
